"R0000100","R0173600","R0214700","R0214800","R0263710","R0446810","R0702510","R0709400","R0709500","R0712100","R0712200","R0712300","R0712400","R0712500","R0833200","R0833400","R0840100","R0841010","R0854110","R0896711"
7864,14,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7865,14,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7866,11,1,1,-4,-4,340,0,1,0,-4,-4,-4,-4,10,81,1,340,-4,1
7867,11,1,1,375,675,775,0,1,0,-4,-4,-4,-4,2,81,1,775,-4,1
7868,11,1,1,281,292,350,0,1,0,-4,-4,-4,-4,4,81,1,350,-4,1
7869,14,1,2,284,-4,315,0,1,0,-4,-4,-4,-4,12,81,1,315,-4,0
7870,9,3,1,-4,366,-4,1,1,0,-4,-4,-4,-4,3,82,1,-4,-4,1
7871,11,1,1,-5,450,312,0,1,0,-4,-4,-4,-4,9,81,1,312,-4,1
7872,11,1,1,400,500,350,1,0,-4,-4,-4,-4,-4,8,81,1,350,-4,1
7873,11,1,1,174,140,128,0,1,0,-4,-4,-4,-4,11,81,1,128,121,0
7874,9,3,1,996,962,1068,0,1,0,-4,-4,-4,-4,2,81,1,1068,-4,1
7875,14,1,2,408,377,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7876,11,1,1,531,625,875,0,1,0,-4,-4,-4,-4,7,81,1,875,500,1
7877,12,3,2,465,523,755,1,1,1,2,110000,5,1,5,81,1,755,581,1
7878,12,3,2,452,518,-4,1,1,1,2,98000,5,9,5,81,1,-4,-4,1
7879,12,3,2,266,-4,175,0,1,1,2,175,1,8,1,82,1,175,365,1
7880,9,3,1,400,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7881,9,3,1,333,-5,-4,0,1,0,-4,-4,-4,-4,3,82,1,-4,-4,1
7882,14,1,2,523,487,395,1,0,-4,-4,-4,-4,-4,2,81,1,395,-4,0
7883,14,1,2,-4,-4,450,1,1,1,1,400,1,9,3,81,1,450,-4,1
7884,11,1,1,247,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
7885,14,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7886,14,1,2,-4,-4,335,0,1,1,1,335,1,4,4,81,1,335,-4,0
7887,9,3,1,450,572,454,0,1,1,1,27500,3,3,10,81,1,454,-4,1
7888,12,3,2,-4,310,253,1,1,0,-4,-4,-4,-4,11,81,1,253,335,1
7889,9,3,1,700,-4,425,0,1,1,1,375,1,10,11,81,1,425,475,1
7890,12,3,2,406,395,390,1,0,-4,-4,-4,-4,-4,2,81,1,390,-4,1
7891,14,1,2,218,-4,348,0,1,0,-4,-4,-4,-4,8,81,1,348,-4,0
7892,12,3,2,265,355,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7893,12,3,2,-4,335,334,0,1,0,-4,-4,-4,-4,3,81,1,334,355,0
7894,12,3,2,315,593,721,0,1,0,-4,-4,-4,-4,2,81,1,721,-4,1
7895,12,3,2,370,410,418,0,1,0,-4,-4,-4,-4,3,81,1,418,-4,1
7896,9,3,1,-4,-4,400,0,1,0,-4,-4,-4,-4,8,81,1,400,250,1
7897,9,3,1,875,1373,730,1,1,1,1,25000,3,1,8,81,1,730,1500,1
7898,12,3,2,-4,456,607,0,1,1,1,450,1,10,2,81,1,607,-4,1
7899,11,1,1,666,-4,777,0,1,0,-4,-4,-4,-4,8,81,1,777,-4,0
7900,14,1,2,310,345,350,1,1,0,-4,-4,-4,-4,2,81,1,350,-4,0
7901,12,3,2,-4,-4,350,0,1,0,-4,-4,-4,-4,6,81,1,350,-4,0
7902,11,1,1,325,335,350,0,1,0,-4,-4,-4,-4,4,81,1,350,-4,1
7903,11,1,1,-4,-4,830,1,1,0,-4,-4,-4,-4,7,81,1,830,-4,0
7904,12,3,2,412,566,697,0,1,0,-4,-4,-4,-4,2,81,1,697,-4,1
7905,12,3,2,-4,476,575,1,0,-4,-4,-4,-4,-4,2,81,1,575,-4,1
7906,11,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7907,10,2,1,307,541,482,0,1,0,-4,-4,-4,-4,4,81,1,482,-4,1
7908,10,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
7909,10,2,1,310,250,335,0,1,0,-4,-4,-4,-4,1,82,0,-4,335,1
7910,13,2,2,-4,-4,400,0,1,0,-4,-4,-4,-4,9,81,1,400,-4,1
7911,12,3,2,-4,-4,400,0,1,0,-4,-4,-4,-4,9,81,1,400,-4,0
7912,12,3,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7913,11,1,1,500,500,535,1,1,0,-4,-4,-4,-4,11,81,1,535,500,0
7914,12,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7915,12,3,2,335,350,1142,1,1,1,3,440,1,1,2,81,1,1142,-4,1
7916,12,3,2,339,363,250,0,1,0,-4,-4,-4,-4,3,81,1,250,-4,1
7917,9,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,81,1,271,-4,0
7918,9,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7919,12,3,2,600,500,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7920,10,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
7921,13,2,2,290,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7922,12,3,2,-4,-4,400,0,1,1,2,65000,5,10,10,81,1,400,-4,1
7923,10,2,1,733,672,1200,1,0,-4,-4,-4,-4,-4,4,81,1,1200,-4,1
7924,13,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7925,11,1,1,-4,-4,428,0,1,1,2,335,1,2,2,81,1,428,-4,1
7926,11,1,1,717,800,875,1,0,-4,-4,-4,-4,-4,3,81,1,875,-4,1
7927,14,1,2,100,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7928,13,2,2,300,-4,500,0,1,0,-4,-4,-4,-4,6,81,1,500,-4,0
7929,10,2,1,-4,-4,500,0,1,0,-4,-4,-4,-4,9,81,1,500,-4,1
7930,14,1,2,-4,282,350,1,0,-4,-4,-4,-4,-4,1,81,1,350,-4,0
7931,14,1,2,-4,325,547,1,0,-4,-4,-4,-4,-4,7,81,1,547,325,0
7932,11,1,1,232,309,208,0,0,-4,-4,-4,-4,-4,5,81,0,-4,208,0
